Product type,SKU,Price,Stock levels,Number of products sold,Run_Rate_Daily,Months_Inventory_On_Hand,Inventory_Status
skincare,SKU10,15.707795681912138,51,996,33.2,0.05120481927710843,Healthy
cosmetics,SKU94,3.037688724631414,77,987,32.9,0.07801418439716312,Healthy
skincare,SKU9,64.01573294127854,14,980,32.666666666666664,0.014285714285714285,Stock Out Risk (Hot Item)
skincare,SKU36,9.813002578754052,18,963,32.1,0.018691588785046728,Stock Out Risk (Hot Item)
skincare,SKU37,23.39984475261435,25,963,32.1,0.02596053997923157,Stock Out Risk (Hot Item)
skincare,SKU11,90.63545998228868,46,960,32.0,0.04791666666666667,Healthy
haircare,SKU78,6.306883176111915,5,946,31.533333333333335,0.005285412262156448,Stock Out Risk (Hot Item)
skincare,SKU40,80.54142417094033,90,933,31.1,0.09646302250803858,Healthy
cosmetics,SKU44,51.35579091311039,13,919,30.633333333333333,0.014145810663764961,Stock Out Risk (Hot Item)
cosmetics,SKU91,62.11196546396179,98,916,30.533333333333335,0.10698689956331878,Healthy
skincare,SKU98,19.7546048668786,53,913,30.433333333333334,0.05805038335158817,Healthy
skincare,SKU47,95.71213588093607,4,910,30.333333333333332,0.004395604395604396,Stock Out Risk (Hot Item)
haircare,SKU74,3.170011413566155,41,904,30.133333333333333,0.04535398230088496,Healthy
skincare,SKU58,59.84156137728931,10,896,29.866666666666667,0.011160714285714286,Stock Out Risk (Hot Item)
haircare,SKU22,27.67978088650196,71,884,29.466666666666665,0.08031674208144797,Healthy
skincare,SKU80,91.12831835044432,39,872,29.066666666666666,0.04472477064220184,Healthy
skincare,SKU4,4.805496036345893,5,871,29.033333333333335,0.0057405281285878304,Stock Out Risk (Hot Item)
haircare,SKU46,27.0822071998889,92,859,28.633333333333333,0.10710128055878929,Healthy
skincare,SKU52,98.03182965646508,64,820,27.333333333333332,0.07804878048780488,Healthy
haircare,SKU0,69.80800554211577,58,802,26.733333333333334,0.07231920199501247,Healthy
skincare,SKU32,79.20993601565672,89,781,26.033333333333335,0.11395646606914213,Healthy
haircare,SKU81,72.81920693031822,48,774,25.8,0.06201550387596899,Healthy
cosmetics,SKU88,75.27040697572501,60,737,24.566666666666666,0.0814111261872456,Healthy
skincare,SKU1,14.84352327508434,53,736,24.533333333333335,0.07201086956521739,Healthy
cosmetics,SKU38,52.0759306827078,69,705,23.5,0.09787234042553192,Healthy
skincare,SKU66,26.03486977396209,13,704,23.466666666666665,0.018465909090909092,Stock Out Risk (Hot Item)
haircare,SKU55,79.85505834078943,97,701,23.366666666666667,0.1383737517831669,Healthy
haircare,SKU95,77.90392721944775,15,672,22.4,0.022321428571428572,Stock Out Risk (Hot Item)
haircare,SKU83,68.91124621160633,65,663,22.1,0.09803921568627451,Healthy
cosmetics,SKU71,6.381533162747966,76,637,21.233333333333334,0.11930926216640503,Healthy
cosmetics,SKU50,14.203484264803022,31,633,21.1,0.04897314375987362,Healthy
haircare,SKU99,68.51783269927664,55,627,20.9,0.08771929824561403,Healthy
haircare,SKU54,31.146243160240854,33,622,20.733333333333334,0.05305466237942122,Healthy
haircare,SKU18,36.443627770460935,10,620,20.666666666666668,0.016129032258064516,Stock Out Risk (Hot Item)
haircare,SKU84,89.10436729210225,73,618,20.6,0.11812297734627832,Healthy
cosmetics,SKU33,64.7954350001556,4,616,20.533333333333335,0.006493506493506494,Stock Out Risk (Hot Item)
skincare,SKU34,37.46759232984246,1,602,20.066666666666666,0.0016611295681063123,Stock Out Risk (Hot Item)
cosmetics,SKU21,84.89386898495083,69,601,20.033333333333335,0.11480865224625623,Healthy
haircare,SKU43,11.74327177630924,36,598,19.933333333333334,0.06020066889632107,Healthy
skincare,SKU14,99.1713286386242,54,562,18.733333333333334,0.09608540925266904,Healthy
skincare,SKU41,99.11329161531717,64,556,18.533333333333335,0.11510791366906475,Healthy
skincare,SKU67,87.75543235400107,12,513,17.1,0.023391812865497075,Stock Out Risk (Hot Item)
skincare,SKU69,54.86552851706979,95,511,17.033333333333335,0.18590998043052837,Healthy
cosmetics,SKU59,63.828398347710966,100,484,16.133333333333333,0.2066115702479339,Healthy
cosmetics,SKU72,90.20442752052809,57,478,15.933333333333334,0.1192468619246862,Healthy
skincare,SKU15,36.98924492862691,9,469,15.633333333333333,0.019189765458422176,Healthy
skincare,SKU65,33.69771720664313,57,457,15.233333333333333,0.12472647702407003,Healthy
cosmetics,SKU35,84.95778681635043,42,449,14.966666666666667,0.0935412026726058,Healthy
cosmetics,SKU7,42.95838438246007,93,426,14.2,0.21830985915492956,Healthy
cosmetics,SKU28,2.397274705597141,48,394,13.133333333333333,0.1218274111675127,Healthy
cosmetics,SKU23,4.324341185864164,84,391,13.033333333333333,0.21483375959079284,Healthy
skincare,SKU60,17.028027920188702,41,380,12.666666666666666,0.10789473684210527,Healthy
cosmetics,SKU73,83.8510176813046,17,375,12.5,0.04533333333333334,Healthy
haircare,SKU77,57.44974295897148,96,359,11.966666666666667,0.26740947075208915,Healthy
haircare,SKU26,97.44694661789282,59,353,11.766666666666667,0.1671388101983003,Healthy
cosmetics,SKU27,92.55736081240202,47,352,11.733333333333333,0.13352272727272727,Healthy
haircare,SKU12,71.21338907536008,100,336,11.2,0.2976190476190476,Healthy
skincare,SKU82,17.034930739467917,42,336,11.2,0.125,Healthy
haircare,SKU30,8.022859210526393,60,327,10.9,0.1834862385321101,Healthy
cosmetics,SKU96,24.42313142037338,67,324,10.8,0.20679012345679013,Healthy
skincare,SKU20,96.34107243996338,27,320,10.666666666666666,0.084375,Healthy
skincare,SKU90,13.881913501359142,66,320,10.666666666666666,0.20625,Healthy
skincare,SKU16,7.547172109791272,2,280,9.333333333333334,0.007142857142857143,Healthy
cosmetics,SKU92,47.71423307582023,90,276,9.2,0.32608695652173914,Healthy
cosmetics,SKU62,72.79635395558736,86,270,9.0,0.31851851851851853,Healthy
cosmetics,SKU29,63.44755918520733,45,253,8.433333333333334,0.17786561264822134,Healthy
skincare,SKU13,16.160393317379977,80,249,8.3,0.321285140562249,Healthy
skincare,SKU63,13.017376785287857,54,246,8.2,0.21951219512195122,Healthy
skincare,SKU53,30.34147071121421,96,242,8.066666666666666,0.39669421487603307,Healthy
haircare,SKU76,69.10879954743032,38,241,8.033333333333333,0.15767634854771784,Healthy
haircare,SKU57,49.26320535073416,5,227,7.566666666666666,0.022026431718061675,Healthy
skincare,SKU86,19.99817694040422,32,223,7.433333333333334,0.14349775784753363,Healthy
haircare,SKU24,4.156308359311108,4,209,6.966666666666667,0.019138755980861243,Healthy
haircare,SKU79,57.05703122110322,31,198,6.6,0.15656565656565657,Healthy
