Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Revenue,Cumulative_Revenue,Total_Revenue,Revenue_Share_Pct,ABC_Class,Date_of_Sale,Run_Rate_Daily,Days_Inventory_On_Hand,Inventory_Status
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,87098.04365165182,87098.04365165182,2285549.9646779993,0.03810813370860727,A (High Value),2023-03-10,30.333333333333332,0.13186813186813187,Stock Out Risk (Hot Item)
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,87010.04158299713,174108.08523464896,2285549.9646779993,0.0761777637441316,A (High Value),2023-10-10,32.0,1.4375,Healthy
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,80386.10031830137,254494.1855529503,2285549.9646779993,0.1113492111246865,A (High Value),2023-10-04,27.333333333333332,2.341463414634146,Healthy
skincare,SKU80,91.12831835044432,75,872,8651.672682982065,Unknown,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,Route B,787.7798504943445,79463.89360158745,333958.07915453776,2285549.9646779993,0.1461171640592804,A (High Value),2023-06-02,29.066666666666666,1.3417431192660552,Healthy
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,75145.14875148733,409103.2279060251,2285549.9646779993,0.17899553027870987,A (High Value),2023-05-14,31.1,2.8938906752411575,Healthy
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,62735.41828245297,471838.64618847804,2285549.9646779993,0.2064442490781221,A (High Value),2023-10-21,32.666666666666664,0.42857142857142855,Stock Out Risk (Hot Item)
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,61862.9600282279,533701.606216706,2285549.9646779993,0.233511239948717,A (High Value),2023-12-18,26.033333333333335,3.418693982074264,Healthy
cosmetics,SKU91,62.11196546396179,90,916,1935.206793507599,Male,98,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,Route B,996.7783149506238,56894.560364988996,590596.166581695,2285549.9646779993,0.25840439968893936,A (High Value),2023-12-14,30.533333333333335,3.2096069868995634,Healthy
haircare,SKU81,72.81920693031822,9,774,4384.413400045863,Unknown,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,56362.0661640663,646958.2327457613,2285549.9646779993,0.2830645764670073,A (High Value),2023-03-25,25.8,1.8604651162790697,Healthy
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,55986.02044477684,702944.2531905381,2285549.9646779993,0.30756022141461814,A (High Value),2023-10-07,26.733333333333334,2.169576059850374,Healthy
